# Simulation 8 (Up to date)
# 618 data points written for 4 variables.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.4314,552.4143,111.2068,16.7267
4.4814,557.9463,110.3733,16.6145
4.5314,563.4369,109.5453,16.5077
4.5814,568.8862,108.7225,16.4057
4.6314,574.2945,107.9048,16.305
4.6814,579.6621,107.0921,16.2121
4.7314,584.9892,106.284,16.1249
4.7814,590.276,105.4807,16.0291
4.8314,595.5227,104.6824,15.9288
4.8814,600.7296,103.8892,15.814
4.9314,605.897,103.1014,15.7074
4.9814,611.0252,102.3186,15.6074
5.0314,616.1143,101.5406,15.5137
5.0814,621.1648,100.7671,15.4264
5.1314,626.1767,99.998,15.3453
5.1814,631.1502,99.2331,15.2644
5.2314,636.0856,98.4725,15.1777
5.2814,640.9831,97.7163,15.0952
5.3314,645.8428,96.9644,15.0042
5.3814,650.665,96.2171,14.9095
5.4314,655.45,95.4742,14.8162
5.4814,660.1979,94.7357,14.7277
5.5314,664.9091,94.0013,14.6496
5.5814,669.5838,93.271,14.5695
5.6314,674.2221,92.5444,14.4945
5.6814,678.8242,91.8214,14.4352
5.7314,683.3903,91.1015,14.3838
5.7814,687.9204,90.3848,14.3221
5.8314,692.4147,89.6715,14.2553
5.8814,696.8733,88.9617,14.1816
5.9314,701.2965,88.2558,14.0977
5.9814,705.6845,87.5539,14.0073
6.0314,710.0375,86.8561,13.9209
6.0814,714.3556,86.1622,13.8433
6.1314,718.6392,85.4719,13.7709
6.1814,722.8884,84.7851,13.7026
6.2314,727.1034,84.1016,13.6388
6.2814,731.2844,83.4212,13.5809
6.3314,735.4314,82.7437,13.5299
6.3814,739.5446,82.0691,13.4809
6.4314,743.6242,81.3973,13.4301
6.4814,747.6701,80.7285,13.3638
6.5314,751.6826,80.0631,13.2814
6.5814,755.662,79.4012,13.2112
6.6314,759.6083,78.7423,13.1474
6.6814,763.5218,78.0866,13.0878
6.7314,767.4026,77.4336,13.0355
6.7814,771.2508,76.7833,12.9906
6.8314,775.0666,76.1355,12.9439
6.8814,778.85,75.4902,12.9002
6.9314,782.6012,74.8475,12.8475
6.9814,786.3203,74.2077,12.7774
7.0314,790.0074,73.5709,12.7146
7.0814,793.6627,72.9369,12.6559
7.1314,797.2865,72.3057,12.6065
7.1814,800.8787,71.6768,12.5576
7.2314,804.4395,71.0505,12.5059
7.2814,807.9691,70.4266,12.4619
7.3314,811.4676,69.8051,12.4132
7.3814,814.935,69.186,12.3703
7.4314,818.3716,68.569,12.3269
7.4814,821.7773,67.9543,12.2911
7.5314,825.1523,67.3415,12.2535
7.5814,828.4967,66.731,12.2017
7.6314,831.8105,66.123,12.1592
7.6814,835.094,65.517,12.1178
7.7314,838.3472,64.9133,12.0675
7.7814,841.5702,64.3119,12.02
7.8314,844.7631,63.7128,11.9749
7.8814,847.9262,63.116,11.9305
7.9314,851.0594,62.5213,11.88
7.9814,854.1629,61.9289,11.8335
8.0314,857.2369,61.3387,11.7929
8.0814,860.2814,60.7504,11.7532
8.1314,863.2965,60.1641,11.716
8.1814,866.2824,59.5797,11.679
8.2314,869.239,58.9972,11.6392
8.2814,872.1666,58.4166,11.6056
8.3314,875.0652,57.8377,11.5709
8.3814,877.9349,57.2606,11.5378
8.4314,880.7757,56.6851,11.5173
8.4814,883.5878,56.1109,11.5017
8.5314,886.371,55.538,11.4831
8.5814,889.1256,54.9667,11.4424
8.6314,891.8516,54.3974,11.3965
8.6814,894.5491,53.8301,11.3578
8.7314,897.2182,53.2646,11.319
8.7814,899.859,52.7009,11.2803
8.8314,902.4716,52.1391,11.2423
8.8814,905.0561,51.579,11.2022
8.9314,907.6126,51.0208,11.1607
8.9814,910.1412,50.4643,11.1248
9.0314,912.642,49.9095,11.0948
9.0814,915.1151,49.3561,11.0648
9.1314,917.5606,48.8042,11.0351
9.1814,919.9785,48.2538,11.0018
9.2314,922.3689,47.705,10.9774
9.2814,924.7318,47.1573,10.9597
9.3314,927.0674,46.6109,10.9412
9.3814,929.3757,46.0657,10.9231
9.4314,931.6566,45.5216,10.908
9.4814,933.9103,44.9785,10.8924
9.5314,936.1367,44.4366,10.8732
9.5814,938.3359,43.8958,10.8513
9.6314,940.5081,43.3564,10.8171
9.6814,942.6531,42.8186,10.789
9.7314,944.7712,42.2821,10.7517
9.7814,946.8625,41.7473,10.7192
9.8314,948.9269,41.2139,10.6888
9.8814,950.9646,40.6819,10.655
9.9314,952.9757,40.1512,10.6312
9.9814,954.9602,39.6217,10.6047
10.0314,956.9182,39.0936,10.5764
10.0814,958.8498,38.5666,10.552
10.1314,960.755,38.0408,10.5352
10.1814,962.6339,37.516,10.5197
10.2314,964.4865,36.9921,10.5084
10.2814,966.3128,36.4692,10.4908
10.3314,968.113,35.9473,10.4721
10.3814,969.8869,35.4263,10.4638
10.4314,971.6347,34.9062,10.4438
10.4814,973.3563,34.3872,10.4269
10.5314,975.0519,33.8691,10.4083
10.5814,976.7215,33.3521,10.3925
10.6314,978.3651,32.836,10.3748
10.6814,979.9827,32.3209,10.3591
10.7314,981.5745,31.8068,10.3337
10.7814,983.1404,31.2939,10.3073
10.8314,984.6806,30.7821,10.2868
10.8814,986.195,30.2713,10.2677
10.9314,987.6838,29.7615,10.2548
10.9814,989.147,29.2525,10.2395
11.0314,990.5845,28.7445,10.2251
11.0814,991.9965,28.2374,10.2027
11.1314,993.383,27.7313,10.1821
11.1814,994.744,27.2263,10.1622
11.2314,996.0797,26.7221,10.153
11.2814,997.3899,26.2187,10.1498
11.3314,998.6748,25.7159,10.1375
11.3814,999.9343,25.2141,10.1208
11.4314,1001.1686,24.7132,10.1084
11.4814,1002.3775,24.2131,10.0976
11.5314,1003.5613,23.7138,10.0825
11.5814,1004.7198,23.2155,10.0681
11.6314,1005.8531,22.718,10.0547
11.6814,1006.9614,22.2215,10.0381
11.7314,1008.0445,21.726,10.0241
11.7814,1009.1026,21.2313,10.0152
11.8314,1010.1356,20.7374,10.0037
11.8814,1011.1436,20.2445,9.9882
11.9314,1012.1267,19.7525,9.9801
11.9814,1013.0848,19.2613,9.9688
12.0314,1014.018,18.7712,9.9582
12.0814,1014.9263,18.282,9.9448
12.1314,1015.8097,17.7938,9.9332
12.1814,1016.6683,17.3066,9.9232
12.2314,1017.5021,16.8205,9.9041
12.2814,1018.3112,16.3356,9.8887
12.3314,1019.0955,15.8518,9.8793
12.3814,1019.8551,15.3692,9.8795
12.4314,1020.5901,14.8875,9.8768
12.4814,1021.3003,14.4071,9.8702
12.5314,1021.9859,13.9281,9.8616
12.5814,1022.6468,13.4505,9.8536
12.6314,1023.2831,12.9744,9.8489
12.6814,1023.8948,12.4999,9.8401
12.7314,1024.4818,12.0273,9.8321
12.7814,1025.0443,11.5567,9.8248
12.8314,1025.5823,11.0882,9.8265
12.8814,1026.0956,10.622,9.8212
12.9314,1026.5845,10.1585,9.8069
12.9814,1027.0488,9.6981,9.7852
13.0314,1027.4886,9.2411,9.7692
13.0814,1027.904,8.7878,9.7583
13.1314,1028.2951,8.3389,9.7416
13.1814,1028.6618,7.8949,9.7383
13.2314,1029.0041,7.4566,9.7248
13.2814,1029.3221,7.025,9.7073
13.3314,1029.6159,6.6013,9.7048
13.3814,1029.8854,6.187,9.6969
13.4314,1030.1307,5.7841,9.6786
13.4814,1030.3518,5.3948,9.6478
13.5314,1030.5488,5.022,9.6304
13.5814,1030.7217,4.6695,9.5948
13.6314,1030.8706,4.3414,9.5575
13.6814,1030.9957,4.0436,9.546
13.7314,1031.0969,3.7832,9.5429
13.7814,1031.1743,3.5683,9.5124
13.8314,1031.2279,3.4056,9.4534
# Event TUMBLE occurred at t=13.881 seconds
13.8814,1031.2579,3.3013,9.8391
# Event APOGEE occurred at t=13.918 seconds
13.9185,1031.2646,3.2592,9.8047
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=13.919 seconds
14.0204,1031.2137,3.3533,9.6816
14.1237,1031.0594,3.6539,9.482
14.2292,1030.7974,4.1785,9.2712
14.3371,1030.4226,4.8526,9.0241
14.4479,1029.928,5.6125,8.7361
14.5623,1029.3043,6.4228,8.4343
14.6809,1028.5419,7.277,8.0955
14.8044,1027.6266,8.1607,7.7139
14.9341,1026.5392,9.0644,7.2822
15.0714,1025.2533,9.9803,6.8038
